"lon";"lat";"species";"cells";"wcbio_02";"wcbio_05";"wcbio_09";"wcbio_12";"wcbio_17";"wcbio_18"
-43,4154792631713;-19,9632093958864;"Chamaecrista cinerascens";5205;22,6140003204346;310;47;11,9653329849243;18,6879997253418;22,0380001068115
-40,071853011446;-19,3949002236543;"Qualea cryptantha";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-39,8;-19,58;"Nectandra nitidula";4311;25,9466667175293;185;180;8,3953332901001;14,1960010528564;25,0566673278809
-42,868031;-20,761343;"Myrciaria glanduliflora";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-43,5;-20,42;"Miconia corallina";6280;19,28733253479;306;63;11,3409996032715;17,6840000152588;18,767333984375
-43,492778;-20,1263;"Eriocaulon ligulatum";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-40,072153031695;-19,3949002237318;"Rinorea maximiliani";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-43,4154792631713;-19,9632093958864;"Chamaecrista ochnacea";5205;22,6140003204346;310;47;11,9653329849243;18,6879997253418;22,0380001068115
-40,071853011446;-19,3949002236543;"Tovomita fructipendula";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-43,248576;-19,948004;"Roupala montana";5111;21,8813323974609;316;46;11,6129999160767;18,492000579834;21,3026676177979
-40,071853011446;-19,3949002236543;"Licania kunthiana";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-42,8818438826343;-20,758024038568;"Rourea fluminensis";7079;22,1000003814697;251;66;12,0166664123535;19,568000793457;21,238000869751
-42,865;-18,2308;"Phyllanthus klotzschianus";1102;22,6833324432373;273;38;11,9316673278809;18,7439994812012;22,1800003051758
-42,868031;-20,761343;"Chamaecrista nictitans";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-43,4;-18,87;"Myrcia lutescens";2559;22,9766654968262;278;38;12,2530002593994;19,3999996185303;22,5359992980957
-40,630590715126;-19,5432030511092;"Fridericia erubescens";4291;25,6893329620361;192;123;10,606333732605;16,7120018005371;24,8253326416016
-43,364883;-19,890197;"Leandra cogniauxii";5010;22,4146671295166;317;48;11,6009998321533;18,3279991149902;21,8339996337891
-41,31969;-19,33483;"Guatteria tomentosa";3785;24,1006660461426;201;94;11,3336658477783;17,423999786377;23,2993335723877
-41,986301;-20,472724;"Marcetia taxifolia";6415;21,1713333129883;229;81;12,8499994277954;19,92799949646;20,4253330230713
-43,561;-20,101;"Phlegmariurus pungentifolius";5495;19,4313335418701;322;64;11,1009998321533;17,1479988098145;18,9300003051758
-40,7719;-19,8028;"Hymenophyllum hirsutum";4876;22,3453330993652;203;150;10,614333152771;16,6639995574951;21,5340003967285
-40,9803;-19,7411;"Hymenophyllum hirsutum";4675;22,6059989929199;204;125;11,0806665420532;17,1679992675781;21,8246669769287
-43,465195;-20,133886;"Marcetia taxifolia";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-43,45335;-20,40085;"Mimosa pigra";6184;21,5186672210693;292;60;11,4876670837402;18,2000007629395;20,9006671905518
-43,505833;-20,3874;"Bulbostylis junciformis";6182;19,9179992675781;304;60;11,2806663513184;17,7279987335205;19,3766670227051
-42,7320328016446;-19,7160055017001;"Senna affinis";4633;22,6420001983643;285;54;11,5116672515869;18,2999992370605;22,0060005187988
-40,68;-19,42;"Senna splendida";3996;25,6219997406006;191;120;10,6919994354248;16,7559986114502;24,7819995880127
-41,0017;-19,6164;"Cariniana ianeirensis";4380;25,3933334350586;196;105;11,289999961853;17,4879989624023;24,5633335113525
-43,492778;-20,1263;"Dalbergia villosa";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-41,2758;-20,225;"Miconia valentinensis";5844;19,8159999847412;215;128;11,3590002059937;17,7599983215332;19,0419998168945
-40,071853011446;-19,3949002236543;"Qualea megalocarpa";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-40,7833;-19,1886;"Huberia espiritosantensis";3406;25,2099990844727;189;109;10,7173328399658;16,6959991455078;24,3293342590332
-42,7768359408608;-19,8469078537136;"Aniba canelilla";4926;23,9213333129883;271;44;11,989333152771;18,8720016479492;23,2239990234375
-43,38;-18,82;"Campomanesia rufa";2461;22,9853324890137;276;40;12,2266664505005;19,3400001525879;22,5380001068115
-42,8818438826343;-20,758024038568;"Lantana nivea";7079;22,1000003814697;251;66;12,0166664123535;19,568000793457;21,238000869751
-42,868031;-20,761343;"Lindsaea stricta";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-42,83;-20,33;"Paullinia rubiginosa";6003;23,3973331451416;259;56;12,2893333435059;19,5559997558594;22,6153335571289
-43,53;-20,38;"Cuphea ingrata";6182;19,9179992675781;304;60;11,2806663513184;17,7279987335205;19,3766670227051
-42,868031;-20,761343;"Eugenia florida";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-41,83;-19,67;"Celtis orthacanthos";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-40,6031;-19,8967;"Dennstaedtia dissecta";5076;22,5433330535889;201;165;10,0693330764771;16,1119995117188;21,6919994354248
-42,868031;-20,761343;"Coutarea hexandra";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-40,5416847206305;-19,4169007116929;"Actinostemon klotzschii";3999;25,2766666412354;192;129;10,3956670761108;16,3959999084473;24,4506664276123
-41,83;-19,67;"Paradrypetes ilicifolia";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-43,4776;-19,93955;"Trigonia nivea";5105;22,3146667480469;316;52;11,7016668319702;18,1639995574951;21,7486667633057
-40,7699;-19,80385;"Leandra fallax";4876;22,3453330993652;203;150;10,614333152771;16,6639995574951;21,5340003967285
-43,8066070517348;-20,9574265697104;"Coutarea hexandra";7449;20,9659996032715;281;63;11,2603330612183;17,3239974975586;20,3479995727539
-43,523333;-20,454383;"Trembleya phlogiformis";6280;19,28733253479;306;63;11,3409996032715;17,6840000152588;18,767333984375
-40,071853011446;-19,3949002236543;"Celtis iguanaea";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-43,8066070517348;-20,9574265697104;"Guatteria australis";7449;20,9659996032715;281;63;11,2603330612183;17,3239974975586;20,3479995727539
-43,3495;-18,4699;"Ipomoea saopaulista";1678;21,2186660766602;281;43;11,1286668777466;17,4680004119873;20,7620010375977
-40,071853011446;-19,3949002236543;"Stephanopodium blanchetianum";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-40,0703;-19,3842;"Lecythis lurida";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-40,071853011446;-19,3949002236543;"Trichilia pseudostipularis";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-41,34342;-20,2303;"Miconia paniculata";5842;19,9553337097168;217;124;11,5863332748413;18,076000213623;19,2026672363281
-40,071853011446;-19,3949002236543;"Vochysia acuminata";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-41,83;-19,67;"Solanum diploconos";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-42,868031;-20,761343;"Machaerium brasiliense";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-42,868031;-20,761343;"Machaerium cantarellianum";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-43,492778;-20,1263;"Rhynchospora pilosa";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-40,765;-19,7822;"Solanum insidiosum";4778;23,4633331298828;200;143;10,6066665649414;16,6999988555908;22,6333332061768
-40,5911;-19,9086;"Leandra fallacissima";5076;22,5433330535889;201;165;10,0693330764771;16,1119995117188;21,6919994354248
-43,492778;-20,1263;"Chamaecrista desvauxii";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-40,76863;-19,8038;"Miconia cinnamomifolia";4876;22,3453330993652;203;150;10,614333152771;16,6639995574951;21,5340003967285
-43,5082859302814;-20,2916151948885;"Coussarea nodosa";5888;20,2320003509521;310;61;11,1763334274292;17,4879989624023;19,6873321533203
-43,503286;-20,087063;"Miconia corallina";5496;18,326000213623;326;71;11,0463333129883;17;17,8439998626709
-41,83;-19,67;"Ficus trigona";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-40,76863;-19,8038;"Miconia chartacea";4876;22,3453330993652;203;150;10,614333152771;16,6639995574951;21,5340003967285
-43,3765758218499;-19,2195958017072;"Cassia ferruginea";3441;22,5060005187988;306;41;11,9896659851074;18,9119987487793;22,0433330535889
-43,492778;-20,1263;"Miconia sclerophylla";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-43,492778;-20,1263;"Dichorisandra hexandra";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-43,4154792631713;-19,9632093958864;"Burmannia bicolor";5205;22,6140003204346;310;47;11,9653329849243;18,6879997253418;22,0380001068115
-43,8066070517348;-20,9574265697104;"Lagenocarpus rigidus";7449;20,9659996032715;281;63;11,2603330612183;17,3239974975586;20,3479995727539
-43,4;-18,97;"Myrcia tomentosa";2853;22,5386657714844;289;40;12,0950002670288;19,1560001373291;22,0913333892822
