"est";"id";"scientificName";"names_wo_author"
"MG";138153;"Cladonia calycanthoides (Vain.) Ahti & Marcelli";"Cladonia calycanthoides"
"MG";138154;"Cladonia carassensis Vain.";"Cladonia carassensis"
"MG";138155;"Amphiscopia beyrichii Nees";"Amphiscopia beyrichii"
"MG";138156;"Cladonia cartilaginea Müll. Arg.";"Cladonia cartilaginea"
"MG";138157;"Beloperone calycina Nees";"Beloperone calycina"
"MG";138158;"Cladonia ceratophylla (Sw.) Spreng.";"Cladonia ceratophylla"
"MG";138159;"Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.";"Cladonia chlorophaea"
"MG";138160;"Cladonia chondrotypa Vain.";"Cladonia chondrotypa"
"MG";138161;"Dichaea elianae Xim.Bols.";"Dichaea elianae"
"MG";138162;"Metrodorea concinna Pirani & P.Dias";"Metrodorea concinna"
"MG";138163;"Cladonia clathrata Ahti & L. Xavier";"Cladonia clathrata"
"MG";138165;"Pluteus nanus (Pers.) P. Kumm.";"Pluteus nanus"
"MG";138166;"Cladonia coccifera (L.) Willd.";"Cladonia coccifera"
"MG";138167;"Tyloglossa chrysotrichoma Nees";"Tyloglossa chrysotrichoma"
"MG";138168;"Pluteus nanus var. podospileus (Sacc. & Cub.) Rick";"Pluteus nanus"
"MG";138169;"Pluteus neophlebophorus Singer";"Pluteus neophlebophorus"
"MG";138170;"Adhatoda chrysotrichoma (Nees) Nees";"Adhatoda chrysotrichoma"
"MG";138172;"Cladonia consimilis Vain.";"Cladonia consimilis"
"MG";138173;"Bougainvillea campanulata Heimerl";"Bougainvillea campanulata"
"MG";138175;"Cladonia corallifera (Kunze) Nyl.";"Cladonia corallifera"
"MG";138178;"Cladonia corniculata Ahti & Kashiw.";"Cladonia corniculata"
"MG";138181;"Sericographis clausseniana Nees";"Sericographis clausseniana"
"MG";138182;"Cladonia crassiuscula Ahti";"Cladonia crassiuscula"
"MG";138183;"Utricularia puberula Benj.";"Utricularia puberula"
"MG";138184;"Panicum compactiflorum Renvoize";"Panicum compactiflorum"
"MG";138185;"Echinocystis racemosa (Steud) Mart. Crov.";"Echinocystis racemosa"
"MG";138186;"Cladonia crinita (Delise ex Pers.) Ahti";"Cladonia crinita"
"MG";138187;"Phoebe nunesiana Vattimo-Gil";"Phoebe nunesiana"
"MG";138188;"Utricularia connellii N.E.Br.";"Utricularia connellii"
"MG";138189;"Cladonia crispatula (Nyl.) Ahti";"Cladonia crispatula"
"MG";138191;"Pluteus paraensis Singer";"Pluteus paraensis"
"MG";138192;"Utricularia regnellii Sylvén";"Utricularia regnellii"
"MG";138193;"Dioscorea trifurcata Hauman";"Dioscorea trifurcata"
"MG";138194;"Cladonia crustacea Ahti";"Cladonia crustacea"
"MG";138195;"Echinocystis polycarpa Cogn.";"Echinocystis polycarpa"
"MG";138197;"Cladonia curta Ahti & Marcelli";"Cladonia curta"
"MG";138199;"Bulnesia sarmientoi Lorentz ex Griseb.";"Bulnesia sarmientoi"
"MG";138230;"Anguria rhizantha Poepp. & Endl.";"Anguria rhizantha"
"MG";138231;"Utricularia deightonii Lloyd & G.Taylor";"Utricularia deightonii"
"MG";138232;"Cladonia fissidens Ahti & Marcelli";"Cladonia fissidens"
"MG";138233;"Utricularia venezuelana Steyerm.";"Utricularia venezuelana"
"MG";138234;"Pluteus pulverulentus Singer";"Pluteus pulverulentus"
"MG";138235;"Cladonia flagellaris Ahti & Marcelli";"Cladonia flagellaris"
"MG";138236;"Anguria warmingiana Cogn.";"Anguria warmingiana"
"MG";138237;"Adhatoda flexuosa Nees";"Adhatoda flexuosa"
"MG";138238;"Pluteus pulverulentus var. pseudonanus Singer";"Pluteus pulverulentus"
"MG";138239;"Utricularia cutleri Steyerm.";"Utricularia cutleri"
"MG";138250;"Ficus insipida Willd.";"Ficus insipida"
"MG";138251;"Cladonia fleigiae Ahti & S. Stenroos";"Cladonia fleigiae"
"MG";138252;"Pluteus riberaltensis Singer";"Pluteus riberaltensis"
"MG";138253;"Vetiveria zizanioides (L.) Nash";"Vetiveria zizanioides"
"MG";138254;"Leptostachya laxa Nees";"Leptostachya laxa"
"MG";138290;"Tyloglossa glandulosa Nees";"Tyloglossa glandulosa"
"MG";138291;"Cladonia stenroosiae Ahti";"Cladonia stenroosiae"
"MG";138292;"Piresia palmula M.L.S.Carvalho & R.P.Oliveira";"Piresia palmula"
"MG";138293;"Echites pohlianus var. angustifolius Stadelm.";"Echites pohlianus"
"MG";138294;"Sericographis cordata Nees";"Sericographis cordata"
"MG";138295;"Oscillatoria autumnalis Agardh";"Oscillatoria autumnalis"
"MG";138296;"Cladonia grayi G. Merr. ex Sandst.";"Cladonia grayi"
"MG";138297;"Keraunea capixaba Lombardi";"Keraunea capixaba"
"MG";138299;"Dichaea hookeri Garay & H.R.Sweet";"Dichaea hookeri"
"MG";138300;"Helosis brasiliensis Schott & Endl.";"Helosis brasiliensis"
"MG";138301;"Fomitopsis lilacinogilva (Berk.) J.E. Wright & J.R. Deschamps";"Fomitopsis lilacinogilva"
"MG";138302;"Langsdorffia janeirensis Rich.";"Langsdorffia janeirensis"
"MG";138303;"Erythroxylum verruculosum O.E.Schulz";"Erythroxylum verruculosum"
"MG";138304;"Phormidium chlorinum (Kütz. ex Gomont) Anagnostidis";"Phormidium chlorinum"
"MG";138342;"Bassovia pogogena (Moric.) Miers";"Bassovia pogogena"
"MG";138343;"Cladonia humilis (With.) J.R. Laundon";"Cladonia humilis"
"MG";138350;"Sericographis parabolica Nees";"Sericographis parabolica"
"MG";138351;"Jacobinia parabolica (Nees) Lindau";"Jacobinia parabolica"
"MG";138352;"Cladonia imperialis Ahti & Marcelli";"Cladonia imperialis"
"MG";138353;"Mucor inaequisporus Dade";"Mucor inaequisporus"
"MG";138354;"Gurania dumortieri Cogn.";"Gurania dumortieri"
"MG";138355;"Cladonia itatiaiae Ahti & Marcelli";"Cladonia itatiaiae"
"MG";138357;"Ombrophytum zamioides Wedd.";"Ombrophytum zamioides"
"MG";138358;"Leptostachya heterophylla Nees";"Leptostachya heterophylla"
"MG";138359;"Cladonia latiloba Ahti & Marcelli";"Cladonia latiloba"
"MG";138368;"Cladonia megaphylla Ahti & Marcelli";"Cladonia megaphylla"
"MG";138369;"Cladonia meridionalis Vain.";"Cladonia meridionalis"
"MG";138371;"Cladonia merochlorophaea Asahina";"Cladonia merochlorophaea"
"MG";138373;"Witheringia martiana (Sendtn.) Miers";"Witheringia martiana"
