"fullModel";"fullModel-1";"fullModel-2";"fullModel-3";"fullModel-4"
"Geographic";0;NA;NA;NA;NA
"wc_bio02";0,2;NA;NA;NA;NA
"wc_bio03";0,72;NA;NA;NA;NA
"wc_bio05";0;NA;NA;NA;NA
"wc_bio14";0,68;NA;NA;NA;NA
"wc_bio18";0,98;NA;NA;NA;NA
